code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
ACB,2013-01-02,14:01:07,HNX,STOCK,16.3,17.4,15.2,16.3,17.4,16.3,17.3,17.3,3.253,3.475,3.253,3.453,3.453,2578600.0,43975750000.0,0.0,0.0,1.0,0.1996,6.135
ACB,2013-01-03,14:01:10,HNX,STOCK,17.3,18.5,16.1,17.5,17.8,16.7,17.0,17.0,3.493,3.553,3.335,3.393,3.394,1967200.0,33790120000.0,0.0,0.0,-0.3,-0.0599,-1.7341
ACB,2013-01-04,14:01:10,HNX,STOCK,17.0,18.1,15.9,16.9,17.2,16.7,17.2,17.1,3.375,3.433,3.335,3.433,3.414,1170100.0,19893160000.0,0.0,0.0,0.2,0.0399,1.1765
ACB,2013-01-07,14:01:08,HNX,STOCK,17.1,18.2,16.0,17.0,17.5,17.0,17.2,17.1,3.393,3.493,3.393,3.433,3.414,1355700.0,23335900000.0,0.0,0.0,0.1,0.02,0.5848
ACB,2013-01-08,14:01:08,HNX,STOCK,17.1,18.2,16.0,17.1,17.5,16.9,17.3,17.1,3.414,3.493,3.375,3.453,3.414,2180000.0,37493390000.0,0.0,0.0,0.2,0.0399,1.1696
ACB,2013-01-09,14:01:08,HNX,STOCK,17.1,18.2,16.0,17.1,18.2,17.1,18.1,18.1,3.414,3.634,3.414,3.614,3.614,3861400.0,69459100000.0,0.0,0.0,1.0,0.1997,5.848
ACB,2013-01-10,14:01:09,HNX,STOCK,18.1,19.3,16.9,18.1,18.3,17.7,18.3,18.2,3.614,3.654,3.532,3.654,3.634,880700.0,15857090000.0,0.0,0.0,0.2,0.0399,1.105
ACB,2013-01-11,14:01:08,HNX,STOCK,18.2,19.4,17.0,19.0,19.0,18.2,18.2,18.2,3.794,3.794,3.634,3.634,3.634,806200.0,14849120000.0,0.0,0.0,0.0,0.0,0.0
ACB,2013-01-14,14:01:15,HNX,STOCK,18.2,19.4,17.0,18.4,18.4,17.7,18.0,18.0,3.673,3.673,3.532,3.593,3.593,614300.0,11046650000.0,0.0,0.0,-0.2,-0.0399,-1.0989
ACB,2013-01-15,14:01:09,HNX,STOCK,18.0,19.8,16.2,18.2,18.3,17.6,18.2,324340200.0,3.634,3.654,3.513,3.634,70779926.363,1310500.0,20021.0,0.0,0.0,0.2,0.0399,1.1111
ACB,2013-01-16,14:01:07,HNX,STOCK,18.2,20.0,16.4,18.2,18.8,18.1,18.2,18.4,3.634,3.754,3.614,3.634,3.674,1346900.0,24841200000.0,0.0,0.0,0.0,0.0,0.0
ACB,2013-01-17,14:01:09,HNX,STOCK,18.4,20.2,16.6,18.2,18.4,17.9,18.0,17.9,3.634,3.673,3.574,3.593,3.574,1068300.0,19378830000.0,0.0,0.0,-0.4,-0.0798,-2.1739
ACB,2013-01-18,14:01:07,HNX,STOCK,17.9,19.6,16.2,17.9,17.9,17.4,17.8,17.7,3.574,3.574,3.475,3.553,3.533,679700.0,12011600000.0,0.0,0.0,-0.1,-0.02,-0.5587
