code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
BID,2014-01-24,15:01:07,HOSE,STOCK,18.8,20.1,17.5,19.0,19.5,18.5,18.8,18.9,11.223,11.519,10.927,11.105,11.164,8417060.0,159071334000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-01-27,15:01:16,HOSE,STOCK,18.4,19.6,17.2,18.7,18.8,18.1,18.4,18.36,11.046,11.105,10.691,10.868,10.846,3240910.0,59509335000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-02-06,15:02:10,HOSE,STOCK,18.4,18.8,16.4,18.2,18.3,17.6,17.6,17.86,10.75,10.809,10.397,10.397,10.55,959590.0,17135299000.0,0.0,0.0,-0.8,-0.4726,-4.3478
BID,2014-02-07,15:02:07,HOSE,STOCK,17.6,17.7,15.5,17.4,17.5,16.5,16.6,16.82,10.278,10.337,9.746,9.806,9.935,2987600.0,50252206000.0,0.0,0.0,-1.0,-0.5907,-5.6818
BID,2014-02-10,15:02:21,HOSE,STOCK,16.6,18.1,15.9,16.5,17.2,16.2,17.0,16.76,9.746,10.16,9.569,10.041,9.9,4052090.0,67917832000.0,0.0,0.0,0.4,0.2363,2.4096
BID,2014-02-11,15:02:13,HOSE,STOCK,17.0,18.0,15.8,17.2,17.2,16.9,16.9,17.05,10.16,10.16,9.982,9.982,10.071,1938480.0,33059183000.0,0.0,0.0,-0.1,-0.0591,-0.5882
BID,2014-02-12,15:02:06,HOSE,STOCK,16.9,17.9,15.7,16.8,16.9,16.7,16.8,16.8,9.923,9.982,9.864,9.923,9.923,1176180.0,19761121000.0,0.0,0.0,-0.1,-0.0591,-0.5917
BID,2014-02-13,15:02:06,HOSE,STOCK,16.8,17.7,15.5,16.8,16.9,16.6,16.6,16.69,9.923,9.982,9.806,9.806,9.859,2156140.0,35981209000.0,0.0,0.0,-0.2,-0.1181,-1.1905
BID,2014-02-14,15:02:06,HOSE,STOCK,16.6,17.9,15.7,16.8,17.0,16.6,16.8,16.81,9.923,10.041,9.806,9.923,9.93,1489380.0,25030333000.0,0.0,0.0,0.2,0.1181,1.2048
BID,2014-02-17,15:02:07,HOSE,STOCK,16.8,17.8,15.6,16.9,16.9,16.6,16.7,16.72,9.982,9.982,9.806,9.864,9.876,1173560.0,19622537000.0,0.0,0.0,-0.1,-0.0591,-0.5952
BID,2014-02-18,15:02:08,HOSE,STOCK,16.7,17.7,15.5,16.7,16.7,16.6,16.6,16.63,9.864,9.864,9.806,9.806,9.823,1861540.0,30962065000.0,0.0,0.0,-0.1,-0.0591,-0.5988
BID,2014-02-19,15:02:07,HOSE,STOCK,16.6,17.7,15.5,16.7,16.8,16.5,16.6,16.65,9.864,9.923,9.746,9.806,9.834,2988120.0,49763233000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-02-20,15:02:16,HOSE,STOCK,16.6,18.0,15.8,16.7,17.2,16.6,16.9,16.9,9.864,10.16,9.806,9.982,9.982,3243650.0,54825425000.0,0.0,0.0,0.3,0.1772,1.8072
BID,2014-02-21,15:02:07,HOSE,STOCK,16.9,17.8,15.6,16.8,16.8,16.7,16.7,16.75,9.923,9.923,9.864,9.864,9.894,903040.0,15122243000.0,0.0,0.0,-0.2,-0.1181,-1.1834
BID,2014-02-24,15:02:08,HOSE,STOCK,16.7,17.8,15.6,16.8,16.8,16.6,16.7,16.67,9.923,9.923,9.806,9.864,9.847,833430.0,13892557000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-02-25,15:02:08,HOSE,STOCK,16.7,17.8,15.6,16.6,16.7,16.5,16.7,16.61,9.806,9.864,9.746,9.864,9.811,1249150.0,20754383000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-02-26,15:02:08,HOSE,STOCK,16.7,17.8,15.6,16.7,16.9,16.6,16.7,16.73,9.864,9.982,9.806,9.864,9.882,1399670.0,23420081000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-02-27,15:02:07,HOSE,STOCK,16.7,18.0,15.8,16.7,17.4,16.7,16.9,16.99,9.864,10.278,9.864,9.982,10.036,3731900.0,63403592000.0,0.0,0.0,0.2,0.1181,1.1976
BID,2014-02-28,15:02:21,HOSE,STOCK,16.9,18.1,15.9,16.8,17.0,16.8,17.0,16.89,9.923,10.041,9.923,10.041,9.978,1154560.0,19505887000.0,0.0,0.0,0.1,0.0591,0.5917
BID,2014-03-03,15:03:11,HOSE,STOCK,17.0,17.8,15.6,16.9,17.0,16.7,16.7,16.77,9.982,10.041,9.864,9.864,9.905,954830.0,16011462000.0,0.0,0.0,-0.3,-0.1772,-1.7647
BID,2014-03-04,15:03:09,HOSE,STOCK,16.7,17.7,15.5,16.6,16.7,16.5,16.6,16.59,9.806,9.864,9.746,9.806,9.8,1551740.0,25740194000.0,0.0,0.0,-0.1,-0.0591,-0.5988
BID,2014-03-05,15:03:10,HOSE,STOCK,16.6,17.7,15.5,16.7,16.8,16.6,16.6,16.68,9.864,9.923,9.806,9.806,9.853,737090.0,12295954000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-06,15:03:09,HOSE,STOCK,16.6,17.7,15.5,16.6,16.7,16.5,16.6,16.6,9.806,9.864,9.746,9.806,9.806,768340.0,12753434000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-07,15:03:10,HOSE,STOCK,16.6,17.7,15.5,16.6,16.7,16.6,16.6,16.6,9.806,9.864,9.806,9.806,9.806,773450.0,12839830000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-10,15:03:07,HOSE,STOCK,16.6,17.8,15.6,16.6,16.8,16.6,16.7,16.64,9.806,9.923,9.806,9.864,9.83,957770.0,15933866000.0,0.0,0.0,0.1,0.0591,0.6024
BID,2014-03-11,15:03:05,HOSE,STOCK,16.7,17.7,15.5,16.6,16.7,16.6,16.6,16.61,9.806,9.864,9.806,9.806,9.811,752790.0,12507020000.0,0.0,0.0,-0.1,-0.0591,-0.5988
BID,2014-03-12,15:03:06,HOSE,STOCK,16.6,17.6,15.4,16.6,16.7,16.5,16.5,16.59,9.806,9.864,9.746,9.746,9.8,979430.0,16247808000.0,0.0,0.0,-0.1,-0.0591,-0.6024
BID,2014-03-13,15:03:08,HOSE,STOCK,16.5,17.6,15.4,16.6,16.6,16.4,16.5,16.52,9.806,9.806,9.687,9.746,9.758,806950.0,13328578000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-14,15:03:05,HOSE,STOCK,16.5,17.7,15.5,16.6,16.7,16.4,16.6,16.55,9.806,9.864,9.687,9.806,9.777,924510.0,15299605000.0,0.0,0.0,0.1,0.0591,0.6061
BID,2014-03-17,15:03:24,HOSE,STOCK,16.6,17.7,15.5,16.6,16.7,16.5,16.6,16.58,9.806,9.864,9.746,9.806,9.793,989350.0,16403669000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-18,15:03:09,HOSE,STOCK,16.6,17.9,15.7,16.6,16.9,16.5,16.8,16.73,9.806,9.982,9.746,9.923,9.882,2171570.0,36323243000.0,0.0,0.0,0.2,0.1181,1.2048
BID,2014-03-19,15:03:08,HOSE,STOCK,16.8,18.6,16.2,16.9,17.4,16.9,17.4,17.24,9.982,10.278,9.982,10.278,10.183,5624790.0,96962719000.0,0.0,0.0,0.6,0.3544,3.5714
BID,2014-03-20,15:03:09,HOSE,STOCK,17.4,18.9,16.5,17.5,18.0,17.5,17.7,17.73,10.337,10.632,10.337,10.455,10.473,3325420.0,58944439000.0,0.0,0.0,0.3,0.1772,1.7241
BID,2014-03-21,17:03:42,HOSE,STOCK,17.7,18.9,16.5,17.5,17.8,17.5,17.5,17.615,10.337,10.513,10.337,10.337,10.405,1236010.0,21772000000.0,0.0,0.0,-0.2,-0.1181,-1.1299
BID,2014-03-24,15:03:08,HOSE,STOCK,17.5,18.8,16.4,17.7,18.0,17.6,17.6,17.72,10.455,10.632,10.397,10.397,10.466,2498010.0,44254882000.0,0.0,0.0,0.1,0.0591,0.5714
BID,2014-03-25,15:03:10,HOSE,STOCK,17.6,18.4,16.0,17.7,17.7,17.2,17.2,17.44,10.455,10.455,10.16,10.16,10.302,2051430.0,35769387000.0,0.0,0.0,-0.4,-0.2363,-2.2727
BID,2014-03-26,15:03:05,HOSE,STOCK,17.2,17.9,15.7,17.3,17.3,16.7,16.8,17.02,10.217,10.217,9.864,9.923,10.054,2030920.0,34569337000.0,0.0,0.0,-0.4,-0.2363,-2.3256
BID,2014-03-27,15:03:11,HOSE,STOCK,16.8,17.9,15.7,16.9,16.9,16.7,16.8,16.8,9.982,9.982,9.864,9.923,9.923,1026180.0,17239311000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-03-28,15:03:08,HOSE,STOCK,16.8,18.1,15.9,16.8,17.0,16.8,17.0,16.91,9.923,10.041,9.923,10.041,9.989,713160.0,12058250000.0,0.0,0.0,0.2,0.1181,1.1905
BID,2014-03-31,15:03:08,HOSE,STOCK,17.0,17.9,15.7,17.1,17.1,16.8,16.8,16.95,10.101,10.101,9.923,9.923,10.013,831760.0,14094511000.0,0.0,0.0,-0.2,-0.1181,-1.1765
BID,2014-04-01,15:04:11,HOSE,STOCK,16.8,17.8,15.6,16.9,16.9,16.6,16.7,16.77,9.982,9.982,9.806,9.864,9.905,1701600.0,28529965000.0,0.0,0.0,-0.1,-0.0591,-0.5952
BID,2014-04-02,15:04:08,HOSE,STOCK,16.7,17.8,15.6,16.7,16.8,16.5,16.7,16.64,9.864,9.923,9.746,9.864,9.83,1217110.0,20255491000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-04-03,15:04:08,HOSE,STOCK,16.7,17.9,15.7,16.7,16.9,16.6,16.8,16.75,9.864,9.982,9.806,9.923,9.894,519700.0,8704591000.0,0.0,0.0,0.1,0.0591,0.5988
BID,2014-04-04,15:04:13,HOSE,STOCK,16.8,18.0,15.8,16.9,16.9,16.7,16.9,16.8,9.982,9.982,9.864,9.982,9.923,608360.0,10223215000.0,0.0,0.0,0.1,0.0591,0.5952
BID,2014-04-07,15:04:10,HOSE,STOCK,16.9,17.9,15.7,16.8,16.9,16.7,16.8,16.81,9.923,9.982,9.864,9.923,9.93,441790.0,7424442000.0,0.0,0.0,-0.1,-0.0591,-0.5917
BID,2014-04-08,15:04:08,HOSE,STOCK,16.7,17.8,15.6,16.8,16.9,16.7,16.7,16.79,9.923,9.982,9.864,9.864,9.918,515610.0,8657990000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-04-10,15:04:08,HOSE,STOCK,16.7,17.8,15.6,16.7,16.8,16.7,16.7,16.71,9.864,9.923,9.864,9.864,9.872,485550.0,8114991000.0,0.0,0.0,0.0,0.0,0.0
BID,2014-04-11,15:04:08,HOSE,STOCK,16.7,17.7,15.5,16.6,16.7,16.5,16.6,16.62,9.806,9.864,9.746,9.806,9.817,670380.0,11139432000.0,0.0,0.0,-0.1,-0.0591,-0.5988
BID,2014-04-14,15:04:10,HOSE,STOCK,16.6,17.7,15.5,16.7,16.8,16.6,16.7,16.72,9.864,9.923,9.806,9.864,9.876,414100.0,6921912000.0,0.0,0.0,0.1,0.0591,0.6024
BID,2014-04-15,15:04:10,HOSE,STOCK,16.7,17.6,15.4,16.6,16.7,16.5,16.5,16.55,9.806,9.864,9.746,9.746,9.777,480360.0,7952051000.0,0.0,0.0,-0.2,-0.1181,-1.1976
