code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VCB,2013-01-02,14:01:04,HOSE,STOCK,27.2,28.5,25.9,27.2,27.8,27.2,27.8,27.576,9.69,9.904,9.69,9.904,9.824,168190.0,4638000000.0,0.0,0.0,0.6,0.2138,2.2059
VCB,2013-01-03,14:01:06,HOSE,STOCK,27.8,29.1,26.5,27.9,28.5,27.0,28.5,28.05,9.939,10.153,9.619,10.153,9.993,500650.0,14043000000.0,0.0,0.0,0.7,0.2494,2.518
VCB,2013-01-04,14:01:07,HOSE,STOCK,28.5,29.9,27.1,28.0,29.5,27.8,29.2,28.821,9.975,10.509,9.904,10.402,10.267,501540.0,14455000000.0,0.0,0.0,0.7,0.2494,2.4561
VCB,2013-01-07,14:01:04,HOSE,STOCK,29.2,30.6,27.8,28.0,30.0,28.0,30.0,29.373,9.975,10.687,9.975,10.687,10.464,1312740.0,38559000000.0,0.0,0.0,0.8,0.285,2.7397
VCB,2013-01-08,14:01:05,HOSE,STOCK,30.0,31.5,28.5,30.6,31.5,30.1,31.5,30.809,10.901,11.222,10.723,11.222,10.976,1035220.0,31894000000.0,0.0,0.0,1.5,0.5344,5.0
VCB,2013-01-09,14:01:04,HOSE,STOCK,31.5,33.0,30.0,30.1,31.7,30.0,31.7,31.056,10.723,11.293,10.687,11.293,11.064,1583320.0,49171000000.0,0.0,0.0,0.2,0.0712,0.6349
VCB,2013-01-10,14:01:05,HOSE,STOCK,31.7,33.2,30.2,31.8,32.5,30.7,32.5,31.808,11.329,11.578,10.937,11.578,11.331,645400.0,20529000000.0,0.0,0.0,0.8,0.285,2.5237
VCB,2013-01-11,14:01:04,HOSE,STOCK,32.5,34.1,30.9,32.9,32.9,32.0,32.1,32.547,11.721,11.721,11.4,11.436,11.595,432980.0,14092000000.0,0.0,0.0,-0.4,-0.1425,-1.2308
VCB,2013-01-14,14:01:11,HOSE,STOCK,32.1,33.7,30.5,31.5,31.9,30.8,31.9,31.388,11.222,11.364,10.972,11.364,11.182,384930.0,12082000000.0,0.0,0.0,-0.2,-0.0712,-0.6231
VCB,2013-01-15,14:01:05,HOSE,STOCK,31.9,34.1,29.7,31.4,32.0,31.2,32.0,31.697,11.186,11.4,11.115,11.4,11.292,509000.0,16134000000.0,0.0,0.0,0.1,0.0356,0.3135
VCB,2013-01-16,14:01:03,HOSE,STOCK,32.0,34.2,29.8,31.5,32.9,31.5,32.1,32.203,11.222,11.721,11.222,11.436,11.472,449000.0,14459000000.0,0.0,0.0,0.1,0.0356,0.3125
VCB,2013-01-17,14:01:05,HOSE,STOCK,32.1,34.3,29.9,32.5,32.5,31.5,31.5,32.209,11.578,11.578,11.222,11.222,11.474,358750.0,11555000000.0,0.0,0.0,-0.6,-0.2138,-1.8692
VCB,2013-01-18,14:01:03,HOSE,STOCK,31.5,33.7,29.3,32.0,32.0,31.4,31.6,31.739,11.4,11.4,11.186,11.257,11.307,299790.0,9515000000.0,0.0,0.0,0.1,0.0356,0.3175
VCB,2013-01-21,14:01:04,HOSE,STOCK,31.6,33.8,29.4,30.8,31.7,30.8,31.1,31.031,10.972,11.293,10.972,11.079,11.055,269410.0,8360000000.0,0.0,0.0,-0.5,-0.1781,-1.5823
VCB,2013-01-22,14:01:05,HOSE,STOCK,31.1,33.2,29.0,31.2,31.2,30.6,30.6,30.919,11.115,11.115,10.901,10.901,11.015,184710.0,5711000000.0,0.0,0.0,-0.5,-0.1781,-1.6077
VCB,2013-01-23,14:01:04,HOSE,STOCK,30.6,32.7,28.5,29.8,30.6,29.7,30.4,29.971,10.616,10.901,10.581,10.83,10.677,530180.0,15890000000.0,0.0,0.0,-0.2,-0.0713,-0.6536
VCB,2013-01-24,14:01:04,HOSE,STOCK,30.4,32.5,28.3,30.5,31.0,30.4,31.0,30.706,10.866,11.044,10.83,11.044,10.939,211230.0,6486000000.0,0.0,0.0,0.6,0.2138,1.9737
VCB,2013-01-25,14:01:03,HOSE,STOCK,31.0,33.1,28.9,31.0,32.5,31.0,32.5,32.01,11.044,11.578,11.044,11.578,11.403,426490.0,13652000000.0,0.0,0.0,1.5,0.5344,4.8387
VCB,2013-01-28,14:01:04,HOSE,STOCK,32.5,34.7,30.3,32.5,33.0,32.4,32.8,32.704,11.578,11.756,11.542,11.685,11.651,453400.0,14828000000.0,0.0,0.0,0.3,0.1069,0.9231
VCB,2013-01-29,14:01:05,HOSE,STOCK,32.8,35.0,30.6,32.9,34.0,32.7,34.0,33.372,11.721,12.112,11.649,12.112,11.889,915570.0,30554000000.0,0.0,0.0,1.2,0.4275,3.6585
VCB,2013-01-30,14:01:03,HOSE,STOCK,34.0,36.3,31.7,34.0,34.4,33.6,34.3,34.117,12.112,12.255,11.97,12.219,12.154,767730.0,26193000000.0,0.0,0.0,0.3,0.1069,0.8824
VCB,2013-01-31,14:01:05,HOSE,STOCK,34.3,36.7,31.9,33.5,34.0,33.5,34.0,33.874,11.934,12.112,11.934,12.112,12.067,321460.0,10889000000.0,0.0,0.0,-0.3,-0.1069,-0.8746
VCB,2013-02-01,14:02:06,HOSE,STOCK,34.0,36.3,31.7,33.8,34.3,32.8,34.3,33.844,12.041,12.219,11.685,12.219,12.057,433080.0,14657000000.0,0.0,0.0,0.3,0.1069,0.8824
VCB,2013-02-04,14:02:05,HOSE,STOCK,34.3,36.7,31.9,34.3,34.3,33.6,33.7,34.158,12.219,12.219,11.97,12.006,12.169,214910.0,7341000000.0,0.0,0.0,-0.6,-0.2138,-1.7493
VCB,2013-02-05,14:02:05,HOSE,STOCK,33.7,36.0,31.4,33.7,33.7,33.2,33.7,33.448,12.006,12.006,11.827,12.006,11.916,288720.0,9657000000.0,0.0,0.0,0.0,0.0,0.0
VCB,2013-02-06,14:02:04,HOSE,STOCK,33.7,36.0,31.4,33.7,34.5,33.7,34.5,34.164,12.006,12.291,12.006,12.291,12.171,983270.0,33592000000.0,0.0,0.0,0.8,0.285,2.3739
VCB,2013-02-07,14:02:05,HOSE,STOCK,34.5,36.9,32.1,34.5,34.7,34.3,34.5,34.523,12.291,12.362,12.219,12.291,12.299,121570.0,4197000000.0,0.0,0.0,0.0,0.0,0.0
